Country,Item,Year,Unit,Value,Country Code,Latitude,Longitude
Argentina,Tea,2009,tonnes,71715.0,AR,-38.416097,-63.616672
Argentina,Tea,2010,tonnes,92417.0,AR,-38.416097,-63.616672
Argentina,Tea,2011,tonnes,92892.0,AR,-38.416097,-63.616672
Argentina,Tea,2012,tonnes,82813.0,AR,-38.416097,-63.616672
Argentina,Tea,2013,tonnes,80423.0,AR,-38.416097,-63.616672
Argentina,Tea,2014,tonnes,82628.0,AR,-38.416097,-63.616672
Argentina,Tea,2015,tonnes,82492.0,AR,-38.416097,-63.616672
Argentina,Tea,2016,tonnes,85015.0,AR,-38.416097,-63.616672
Argentina,Tea,2017,tonnes,81476.0,AR,-38.416097,-63.616672
Argentina,Tea,2018,tonnes,81981.0,AR,-38.416097,-63.616672
Azerbaijan,Tea,2009,tonnes,447.0,AZ,40.143105,47.576927
Azerbaijan,Tea,2010,tonnes,545.0,AZ,40.143105,47.576927
Azerbaijan,Tea,2011,tonnes,534.0,AZ,40.143105,47.576927
Azerbaijan,Tea,2012,tonnes,568.0,AZ,40.143105,47.576927
Azerbaijan,Tea,2013,tonnes,568.0,AZ,40.143105,47.576927
Azerbaijan,Tea,2014,tonnes,474.0,AZ,40.143105,47.576927
Azerbaijan,Tea,2015,tonnes,579.0,AZ,40.143105,47.576927
Azerbaijan,Tea,2016,tonnes,1016.0,AZ,40.143105,47.576927
Azerbaijan,Tea,2017,tonnes,775.0,AZ,40.143105,47.576927
Azerbaijan,Tea,2018,tonnes,869.0,AZ,40.143105,47.576927
Bangladesh,Tea,2009,tonnes,59500.0,BD,23.684994,90.356331
Bangladesh,Tea,2010,tonnes,60000.0,BD,23.684994,90.356331
Bangladesh,Tea,2011,tonnes,60500.0,BD,23.684994,90.356331
Bangladesh,Tea,2012,tonnes,62524.0,BD,23.684994,90.356331
Bangladesh,Tea,2013,tonnes,66259.0,BD,23.684994,90.356331
Bangladesh,Tea,2014,tonnes,63780.0,BD,23.684994,90.356331
Bangladesh,Tea,2015,tonnes,66101.0,BD,23.684994,90.356331
Bangladesh,Tea,2016,tonnes,64500.0,BD,23.684994,90.356331
Bangladesh,Tea,2017,tonnes,81850.0,BD,23.684994,90.356331
Bangladesh,Tea,2018,tonnes,78150.0,BD,23.684994,90.356331
Bolivia,Tea,2009,tonnes,1245.0,BO,-16.290154,-63.588653
Bolivia,Tea,2010,tonnes,1339.0,BO,-16.290154,-63.588653
Bolivia,Tea,2011,tonnes,1356.0,BO,-16.290154,-63.588653
Bolivia,Tea,2012,tonnes,1358.0,BO,-16.290154,-63.588653
Bolivia,Tea,2013,tonnes,1339.0,BO,-16.290154,-63.588653
Bolivia,Tea,2014,tonnes,1196.0,BO,-16.290154,-63.588653
Bolivia,Tea,2015,tonnes,1243.0,BO,-16.290154,-63.588653
Bolivia,Tea,2016,tonnes,1251.0,BO,-16.290154,-63.588653
Bolivia,Tea,2017,tonnes,1177.0,BO,-16.290154,-63.588653
Bolivia,Tea,2018,tonnes,1192.0,BO,-16.290154,-63.588653
Brazil,Tea,2009,tonnes,4686.0,BR,-14.235004,-51.92528
Brazil,Tea,2010,tonnes,4278.0,BR,-14.235004,-51.92528
Brazil,Tea,2011,tonnes,3520.0,BR,-14.235004,-51.92528
Brazil,Tea,2012,tonnes,1496.0,BR,-14.235004,-51.92528
Brazil,Tea,2013,tonnes,763.0,BR,-14.235004,-51.92528
Brazil,Tea,2014,tonnes,1421.0,BR,-14.235004,-51.92528
Brazil,Tea,2015,tonnes,633.0,BR,-14.235004,-51.92528
Brazil,Tea,2016,tonnes,459.0,BR,-14.235004,-51.92528
Brazil,Tea,2017,tonnes,459.0,BR,-14.235004,-51.92528
Brazil,Tea,2018,tonnes,483.0,BR,-14.235004,-51.92528
Burundi,Tea,2009,tonnes,31828.0,BI,-3.373056,29.918886
Burundi,Tea,2010,tonnes,37875.0,BI,-3.373056,29.918886
Burundi,Tea,2011,tonnes,40853.0,BI,-3.373056,29.918886
Burundi,Tea,2012,tonnes,42147.0,BI,-3.373056,29.918886
Burundi,Tea,2013,tonnes,41817.0,BI,-3.373056,29.918886
Burundi,Tea,2014,tonnes,53893.0,BI,-3.373056,29.918886
Burundi,Tea,2015,tonnes,53802.0,BI,-3.373056,29.918886
Burundi,Tea,2016,tonnes,52701.0,BI,-3.373056,29.918886
Burundi,Tea,2017,tonnes,49280.0,BI,-3.373056,29.918886
Burundi,Tea,2018,tonnes,53603.0,BI,-3.373056,29.918886
Cameroon,Tea,2009,tonnes,6000.0,CM,7.369722,12.354722
Cameroon,Tea,2010,tonnes,5514.0,CM,7.369722,12.354722
Cameroon,Tea,2011,tonnes,5226.0,CM,7.369722,12.354722
Cameroon,Tea,2012,tonnes,5268.0,CM,7.369722,12.354722
Cameroon,Tea,2013,tonnes,5342.0,CM,7.369722,12.354722
Cameroon,Tea,2014,tonnes,5487.0,CM,7.369722,12.354722
Cameroon,Tea,2015,tonnes,5625.0,CM,7.369722,12.354722
Cameroon,Tea,2016,tonnes,5641.0,CM,7.369722,12.354722
Cameroon,Tea,2017,tonnes,5710.0,CM,7.369722,12.354722
Cameroon,Tea,2018,tonnes,5779.0,CM,7.369722,12.354722
China,Tea,2009,tonnes,1359000.0,CN,35.86166,104.195397
China,Tea,2010,tonnes,1450000.0,CN,35.86166,104.195397
China,Tea,2011,tonnes,1623000.0,CN,35.86166,104.195397
China,Tea,2012,tonnes,1789753.0,CN,35.86166,104.195397
China,Tea,2013,tonnes,1924457.0,CN,35.86166,104.195397
China,Tea,2014,tonnes,2095570.0,CN,35.86166,104.195397
China,Tea,2015,tonnes,2277000.0,CN,35.86166,104.195397
China,Tea,2016,tonnes,2313000.0,CN,35.86166,104.195397
China,Tea,2017,tonnes,2460000.0,CN,35.86166,104.195397
China,Tea,2018,tonnes,2610400.0,CN,35.86166,104.195397
Taiwan,Tea,2009,tonnes,16780.0,TW,23.69781,120.960515
Taiwan,Tea,2010,tonnes,17467.0,TW,23.69781,120.960515
Taiwan,Tea,2011,tonnes,17310.0,TW,23.69781,120.960515
Taiwan,Tea,2012,tonnes,14902.0,TW,23.69781,120.960515
Taiwan,Tea,2013,tonnes,14718.0,TW,23.69781,120.960515
Taiwan,Tea,2014,tonnes,15200.0,TW,23.69781,120.960515
Taiwan,Tea,2015,tonnes,14405.0,TW,23.69781,120.960515
Taiwan,Tea,2016,tonnes,13018.0,TW,23.69781,120.960515
Taiwan,Tea,2017,tonnes,13443.0,TW,23.69781,120.960515
Taiwan,Tea,2018,tonnes,14738.0,TW,23.69781,120.960515
Colombia,Tea,2009,tonnes,134.0,CO,4.570868,-74.297333
Colombia,Tea,2010,tonnes,134.0,CO,4.570868,-74.297333
Colombia,Tea,2011,tonnes,134.0,CO,4.570868,-74.297333
Colombia,Tea,2012,tonnes,134.0,CO,4.570868,-74.297333
Colombia,Tea,2013,tonnes,125.0,CO,4.570868,-74.297333
Colombia,Tea,2014,tonnes,144.0,CO,4.570868,-74.297333
Colombia,Tea,2015,tonnes,149.0,CO,4.570868,-74.297333
Colombia,Tea,2016,tonnes,149.0,CO,4.570868,-74.297333
Colombia,Tea,2017,tonnes,149.0,CO,4.570868,-74.297333
Colombia,Tea,2018,tonnes,153.0,CO,4.570868,-74.297333
Congo [DRC],Tea,2009,tonnes,2489.0,CD,-4.038333,21.758664
Congo [DRC],Tea,2010,tonnes,2479.0,CD,-4.038333,21.758664
Congo [DRC],Tea,2011,tonnes,3129.0,CD,-4.038333,21.758664
Congo [DRC],Tea,2012,tonnes,3533.0,CD,-4.038333,21.758664
Congo [DRC],Tea,2013,tonnes,2937.0,CD,-4.038333,21.758664
Congo [DRC],Tea,2014,tonnes,3150.0,CD,-4.038333,21.758664
Congo [DRC],Tea,2015,tonnes,3300.0,CD,-4.038333,21.758664
Congo [DRC],Tea,2016,tonnes,3450.0,CD,-4.038333,21.758664
Congo [DRC],Tea,2017,tonnes,3600.0,CD,-4.038333,21.758664
Congo [DRC],Tea,2018,tonnes,3696.0,CD,-4.038333,21.758664
Ecuador,Tea,2009,tonnes,1877.0,EC,-1.831239,-78.183406
Ecuador,Tea,2010,tonnes,1512.0,EC,-1.831239,-78.183406
Ecuador,Tea,2011,tonnes,1468.0,EC,-1.831239,-78.183406
Ecuador,Tea,2012,tonnes,1423.0,EC,-1.831239,-78.183406
Ecuador,Tea,2013,tonnes,1394.0,EC,-1.831239,-78.183406
Ecuador,Tea,2014,tonnes,1353.0,EC,-1.831239,-78.183406
Ecuador,Tea,2015,tonnes,1241.0,EC,-1.831239,-78.183406
Ecuador,Tea,2016,tonnes,1144.0,EC,-1.831239,-78.183406
Ecuador,Tea,2017,tonnes,1083.0,EC,-1.831239,-78.183406
Ecuador,Tea,2018,tonnes,1156.0,EC,-1.831239,-78.183406
El Salvador,Tea,2009,tonnes,500.0,SV,13.794185,-88.89653
El Salvador,Tea,2010,tonnes,450.0,SV,13.794185,-88.89653
El Salvador,Tea,2011,tonnes,450.0,SV,13.794185,-88.89653
El Salvador,Tea,2012,tonnes,460.0,SV,13.794185,-88.89653
El Salvador,Tea,2013,tonnes,475.0,SV,13.794185,-88.89653
El Salvador,Tea,2014,tonnes,462.0,SV,13.794185,-88.89653
El Salvador,Tea,2015,tonnes,466.0,SV,13.794185,-88.89653
El Salvador,Tea,2016,tonnes,467.0,SV,13.794185,-88.89653
El Salvador,Tea,2017,tonnes,465.0,SV,13.794185,-88.89653
El Salvador,Tea,2018,tonnes,466.0,SV,13.794185,-88.89653
Ethiopia,Tea,2009,tonnes,6545.0,ET,9.145,40.489673
Ethiopia,Tea,2010,tonnes,7586.0,ET,9.145,40.489673
